"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 13:41:30,0.112,0.157,0.396,0.395,,0.519,0.524,0.104,0.00701,0.0236
2021-06-04 13:42:00,0.108,0.162,0.387,0.399,,0.549,0.511,0.0988,0.00690,0.0238
2021-06-04 13:42:30,0.104,0.157,0.396,0.407,,0.519,0.535,0.0970,0.00749,0.0237
2021-06-04 13:43:00,0.104,0.165,0.402,0.384,,0.545,0.508,0.0960,0.00756,0.0241
2021-06-04 13:43:30,0.108,0.155,0.417,0.369,,0.517,0.514,0.0967,0.00697,0.0243
2021-06-04 13:44:00,0.105,0.157,0.420,0.398,,0.543,0.558,0.0979,0.00749,0.0241
2021-06-04 13:44:30,0.108,0.162,0.398,0.403,,0.550,0.538,0.0962,0.00667,0.0235
2021-06-04 13:45:00,0.105,0.155,0.394,0.399,,0.555,0.560,0.101,0.00744,0.0239
2021-06-04 13:45:30,0.103,0.163,0.394,0.413,,0.544,0.545,0.101,0.00754,0.0241
2021-06-04 13:46:00,0.0972,0.149,0.355,0.379,,0.500,0.489,0.0929,0.00819,0.0219
2021-06-04 13:46:30,0.0952,0.130,0.324,0.319,,0.436,0.408,0.0789,0.00983,0.0198
2021-06-04 13:47:00,0.0850,0.107,0.251,0.272,,0.342,0.373,0.0701,0.0108,0.0173
