"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 13:18:30,0.107,0.166,0.423,0.363,,0.566,0.524,0.0950,0.00741,0.0225
2021-06-04 13:19:00,0.0971,0.167,0.430,0.377,,0.536,0.523,0.100,0.00755,0.0232
2021-06-04 13:19:30,0.105,0.159,0.428,0.368,,0.542,0.545,0.0960,0.00768,0.0243
2021-06-04 13:20:00,0.103,0.160,0.420,0.336,,0.548,0.544,0.105,0.00837,0.0235
2021-06-04 13:20:30,0.101,0.157,0.413,0.362,,0.518,0.496,0.106,0.00753,0.0230
2021-06-04 13:21:00,0.104,0.152,0.453,0.383,,0.545,0.547,0.102,0.00768,0.0238
2021-06-04 13:21:30,0.102,0.154,0.423,0.386,,0.546,0.543,0.102,0.00764,0.0226
2021-06-04 13:22:00,0.103,0.156,0.405,0.379,,0.550,0.517,0.103,0.00725,0.0231
2021-06-04 13:22:30,0.108,0.162,0.406,0.374,,0.524,0.519,0.101,0.00728,0.0228
2021-06-04 13:23:00,0.108,0.158,0.432,0.360,,0.541,0.532,0.0979,0.00813,0.0240
2021-06-04 13:23:30,0.100,0.143,0.374,0.320,,0.465,0.475,0.0880,0.00883,0.0194
2021-06-04 13:24:00,0.0883,0.124,0.349,0.275,,0.415,0.403,0.0779,0.0109,0.0195
