"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 15:11:00,0.130,0.176,0.864,,1.23,0.123,0.00764,0.0235
2021-06-08 15:11:30,0.135,0.163,0.840,,1.26,0.130,0.00762,0.0241
2021-06-08 15:12:00,0.133,0.159,0.891,,1.28,0.124,0.00693,0.0236
2021-06-08 15:12:30,0.134,0.164,0.870,,1.35,0.122,0.00694,0.0238
2021-06-08 15:13:00,0.133,0.158,0.843,,1.34,0.119,0.00768,0.0231
2021-06-08 15:13:30,0.131,0.166,0.916,,1.29,0.121,0.00764,0.0237
2021-06-08 15:14:00,0.130,0.155,0.888,,1.31,0.127,0.00758,0.0246
2021-06-08 15:14:30,0.124,0.160,0.873,,1.33,0.119,0.00768,0.0224
2021-06-08 15:15:00,0.127,0.147,0.872,,1.38,0.117,0.00743,0.0225
2021-06-08 15:15:30,0.122,0.155,0.825,,1.28,0.118,0.00727,0.0224
2021-06-08 15:16:00,0.122,0.146,0.835,,1.34,0.126,0.00671,0.0224
2021-06-08 15:16:30,0.122,0.153,0.823,,1.32,0.116,0.00677,0.0239
