"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 14:48:00,0.126,0.146,0.836,,1.24,0.118,0.00840,0.0221
2021-06-08 14:48:30,0.132,0.161,0.896,,1.38,0.119,0.00651,0.0234
2021-06-08 14:49:00,0.130,0.150,0.919,,1.37,0.126,0.00663,0.0227
2021-06-08 14:49:30,0.122,0.145,0.816,,1.31,0.141,0.00745,0.0209
2021-06-08 14:50:00,0.123,0.152,0.781,,1.28,0.136,0.00739,0.0203
2021-06-08 14:50:30,0.121,0.146,0.768,,1.25,0.141,0.00712,0.0206
2021-06-08 14:51:00,0.110,0.147,0.804,,1.29,0.137,0.00748,0.0207
2021-06-08 14:51:30,0.120,0.154,0.783,,1.21,0.141,0.00708,0.0209
2021-06-08 14:52:00,0.122,0.150,0.818,,1.24,0.136,0.00694,0.0211
2021-06-08 14:52:30,0.122,0.138,0.747,,1.32,0.137,0.00734,0.0213
2021-06-08 14:53:00,0.118,0.143,0.781,,1.26,0.141,0.00650,0.0214
2021-06-08 14:53:30,0.125,0.155,0.906,,1.32,0.130,0.00610,0.0227
