"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 11:01:30,0.0780,0.0907,,0.396,0.649,0.0553,0.0116,0.0140
2021-06-08 11:02:00,0.0751,0.104,,0.423,0.672,0.0585,0.0112,0.0157
2021-06-08 11:02:30,0.0818,0.100,,0.450,0.723,0.0597,0.0105,0.0165
2021-06-08 11:03:00,0.0823,0.0991,,0.423,0.723,0.0606,0.0100,0.0161
2021-06-08 11:03:30,0.0761,0.0990,,0.443,0.656,0.0631,0.0107,0.0157
2021-06-08 11:04:00,0.0781,0.107,,0.448,0.635,0.0599,0.0109,0.0157
2021-06-08 11:04:30,0.0786,0.102,,0.445,0.660,0.0655,0.0109,0.0167
2021-06-08 11:05:00,0.0806,0.106,,0.421,0.662,0.0594,0.0108,0.0157
2021-06-08 11:05:30,0.0784,0.103,,0.442,0.666,0.0605,0.0103,0.0169
2021-06-08 11:06:00,0.0763,0.0994,,0.462,0.691,0.0606,0.0111,0.0164
2021-06-08 11:06:30,0.0844,0.0961,,0.430,0.686,0.0624,0.0112,0.0154
2021-06-08 11:07:00,0.0820,0.106,,0.445,0.691,0.0655,0.0105,0.0159
