"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 12:33:30,0.0784,0.122,0.281,0.288,,0.410,0.394,0.0754,0.00914,0.0177
2021-06-04 12:34:00,0.0776,0.113,0.274,0.293,,0.398,0.414,0.0726,0.00789,0.0165
2021-06-04 12:34:30,0.0771,0.114,0.281,0.300,,0.413,0.414,0.0753,0.00894,0.0169
2021-06-04 12:35:00,0.0783,0.120,0.267,0.303,,0.412,0.393,0.0757,0.00902,0.0171
2021-06-04 12:35:30,0.0847,0.119,0.282,0.290,,0.393,0.396,0.0691,0.00823,0.0171
2021-06-04 12:36:00,0.0763,0.105,0.263,0.287,,0.388,0.418,0.0802,0.00845,0.0159
2021-06-04 12:36:30,0.0726,0.135,0.248,0.277,,0.398,0.416,0.0735,0.00882,0.0150
2021-06-04 12:37:00,0.0786,0.134,0.229,0.263,,0.412,0.414,0.0731,0.00888,0.0159
2021-06-04 12:37:30,0.0751,0.122,0.245,0.296,,0.393,0.403,0.0736,0.00856,0.0149
2021-06-04 12:38:00,0.0706,0.117,0.203,0.288,,0.377,0.350,0.0736,0.00887,0.0148
2021-06-04 12:38:30,0.0666,0.104,0.181,0.228,,0.324,0.312,0.0595,0.0108,0.0130
2021-06-04 12:39:00,0.0626,0.0892,0.158,0.183,,0.266,0.273,0.0597,0.0125,0.0109
