"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 17:27:30,0.159,0.183,,0.525,0.543,0.708,0.757,0.155,0.00722,0.0260
2021-06-04 17:28:00,0.145,0.179,,0.548,0.544,0.753,0.756,0.155,0.00644,0.0241
2021-06-04 17:28:30,0.160,0.193,,0.524,0.523,0.719,0.692,0.150,0.00662,0.0245
2021-06-04 17:29:00,0.156,0.178,,0.548,0.580,0.700,0.735,0.149,0.00662,0.0248
2021-06-04 17:29:30,0.153,0.186,,0.548,0.527,0.684,0.738,0.141,0.00737,0.0262
2021-06-04 17:30:00,0.148,0.194,,0.549,0.534,0.692,0.704,0.154,0.00670,0.0261
2021-06-04 17:30:30,0.155,0.177,,0.515,0.558,0.719,0.706,0.151,0.00680,0.0267
2021-06-04 17:31:00,0.155,0.187,,0.525,0.559,0.664,0.686,0.154,0.00685,0.0251
2021-06-04 17:31:30,0.154,0.184,,0.532,0.556,0.710,0.737,0.148,0.00679,0.0249
2021-06-04 17:32:00,0.151,0.184,,0.540,0.529,0.705,0.735,0.146,0.00690,0.0251
2021-06-04 17:32:30,0.135,0.158,,0.483,0.474,0.636,0.625,0.128,0.00931,0.0227
2021-06-04 17:33:00,0.129,0.138,,0.424,0.372,0.550,0.518,0.119,0.00998,0.0210
