"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 17:05:00,0.152,0.180,0.301,0.636,,0.709,0.716,0.140,0.00738,0.0257
2021-06-04 17:05:30,0.151,0.180,0.243,0.687,,0.717,0.728,0.147,0.00745,0.0238
2021-06-04 17:06:00,0.156,0.182,0.167,0.736,,0.759,0.762,0.146,0.00675,0.0236
2021-06-04 17:06:30,0.136,0.179,0.132,0.797,,0.766,0.724,0.136,0.00685,0.0248
2021-06-04 17:07:00,0.142,0.171,,0.830,,0.770,0.726,0.150,0.00640,0.0234
2021-06-04 17:07:30,0.150,0.187,,0.855,,0.777,0.768,0.136,0.00689,0.0229
2021-06-04 17:08:00,0.141,0.180,,0.891,,0.792,0.769,0.138,0.00742,0.0236
2021-06-04 17:08:30,0.145,0.183,,0.859,,0.730,0.753,0.136,0.00746,0.0251
2021-06-04 17:09:00,0.144,0.182,,0.896,,0.721,0.764,0.142,0.00700,0.0246
2021-06-04 17:09:30,0.149,0.169,,0.794,0.0885,0.706,0.704,0.134,0.00799,0.0238
2021-06-04 17:10:00,0.133,0.149,,0.683,0.0642,0.625,0.607,0.119,0.00890,0.0201
2021-06-04 17:10:30,0.119,0.129,,0.585,0.0606,0.506,0.542,0.108,0.0112,0.0175
