"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 12:56:00,0.105,0.163,0.362,0.396,,0.535,0.518,0.0962,0.00712,0.0228
2021-06-04 12:56:30,0.100,0.144,0.376,0.353,,0.529,0.554,0.106,0.00722,0.0210
2021-06-04 12:57:00,0.0932,0.163,0.365,0.368,,0.554,0.508,0.104,0.00754,0.0195
2021-06-04 12:57:30,0.0950,0.153,0.361,0.372,,0.535,0.497,0.107,0.00801,0.0196
2021-06-04 12:58:00,0.0954,0.167,0.378,0.360,,0.525,0.515,0.108,0.00725,0.0192
2021-06-04 12:58:30,0.0910,0.162,0.345,0.359,,0.554,0.512,0.107,0.00746,0.0195
2021-06-04 12:59:00,0.0880,0.159,0.347,0.380,,0.479,0.509,0.112,0.00793,0.0198
2021-06-04 12:59:30,0.0939,0.162,0.373,0.352,,0.556,0.555,0.106,0.00713,0.0200
2021-06-04 13:00:00,0.0889,0.142,0.368,0.349,,0.528,0.523,0.108,0.00721,0.0204
2021-06-04 13:00:30,0.0925,0.151,0.378,0.358,,0.520,0.519,0.0964,0.00752,0.0209
2021-06-04 13:01:00,0.0918,0.136,0.336,0.324,,0.441,0.455,0.0834,0.00943,0.0200
2021-06-04 13:01:30,0.0853,0.125,0.287,0.277,,0.380,0.384,0.0709,0.00924,0.0177
