"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 09:48:00,0.0713,0.0893,0.210,0.261,,0.339,0.313,0.0590,0.0106,0.0142
2021-06-04 09:48:30,0.0720,0.1000,0.217,0.253,,0.345,0.343,0.0585,0.0101,0.0154
2021-06-04 09:49:00,0.0742,0.105,0.243,0.228,,0.355,0.350,0.0593,0.0100,0.0156
2021-06-04 09:49:30,0.0788,0.105,0.271,0.205,,0.340,0.352,0.0597,0.00913,0.0147
2021-06-04 09:50:00,0.0762,0.0977,0.242,0.230,,0.357,0.353,0.0578,0.00909,0.0149
2021-06-04 09:50:30,0.0700,0.101,0.231,0.255,,0.338,0.336,0.0620,0.00927,0.0150
2021-06-04 09:51:00,0.0741,0.103,0.215,0.263,,0.352,0.339,0.0642,0.00914,0.0148
2021-06-04 09:51:30,0.0746,0.104,0.221,0.254,,0.340,0.333,0.0566,0.0101,0.0153
2021-06-04 09:52:00,0.0787,0.100,0.218,0.264,,0.332,0.366,0.0597,0.0101,0.0156
2021-06-04 09:52:30,0.0748,0.0917,0.210,0.255,,0.338,0.343,0.0628,0.0106,0.0151
2021-06-04 09:53:00,0.0718,0.101,0.178,0.260,,0.339,0.347,0.0610,0.0110,0.0133
2021-06-04 09:53:30,0.0636,0.117,0.183,0.263,,0.337,0.333,0.0610,0.0109,0.0136
