"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 12:09:30,0.106,0.155,,0.607,0.950,0.0995,0.00790,0.0246
2021-06-08 12:10:00,0.114,0.169,,0.612,0.909,0.104,0.00686,0.0250
2021-06-08 12:10:30,0.106,0.174,,0.661,0.929,0.104,0.00675,0.0252
2021-06-08 12:11:00,0.107,0.160,,0.687,0.969,0.0993,0.00652,0.0238
2021-06-08 12:11:30,0.102,0.167,,0.653,0.921,0.103,0.00674,0.0237
2021-06-08 12:12:00,0.108,0.165,,0.638,0.922,0.103,0.00728,0.0248
2021-06-08 12:12:30,0.0997,0.159,,0.637,0.923,0.0987,0.00678,0.0242
2021-06-08 12:13:00,0.0999,0.167,,0.692,0.943,0.102,0.00723,0.0253
2021-06-08 12:13:30,0.108,0.164,,0.692,0.951,0.103,0.00670,0.0243
2021-06-08 12:14:00,0.104,0.164,,0.665,0.966,0.104,0.00662,0.0259
2021-06-08 12:14:30,0.101,0.169,,0.667,0.933,0.102,0.00668,0.0244
2021-06-08 12:15:00,0.108,0.170,,0.672,1.01,0.0986,0.00691,0.0255
