"Time","pod:adservice-w6-855c98bf6b-dsrwm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-h86sv_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-fdjgt_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-v4cg4_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-9nll7_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-cbqhb_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-k9zvm_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-xmhl8_service:redis-cart_node:worker6.novalocal"
2021-06-08 12:32:00,0.100,0.157,,0.558,0.844,0.0910,0.00847,0.0226
2021-06-08 12:32:30,0.106,0.166,,0.663,0.985,0.104,0.00744,0.0230
2021-06-08 12:33:00,0.102,0.166,,0.644,0.911,0.103,0.00686,0.0239
2021-06-08 12:33:30,0.0981,0.165,,0.664,0.950,0.0993,0.00709,0.0241
2021-06-08 12:34:00,0.102,0.168,,0.656,0.929,0.0989,0.00662,0.0233
2021-06-08 12:34:30,0.101,0.168,,0.693,0.936,0.102,0.00675,0.0236
2021-06-08 12:35:00,0.105,0.161,,0.663,0.949,0.102,0.00740,0.0238
2021-06-08 12:35:30,0.106,0.151,,0.658,0.934,0.103,0.00676,0.0246
2021-06-08 12:36:00,0.106,0.176,,0.696,1.01,0.102,0.00667,0.0258
2021-06-08 12:36:30,0.102,0.166,,0.667,0.933,0.0986,0.00681,0.0252
2021-06-08 12:37:00,0.104,0.177,,0.699,0.967,0.106,0.00687,0.0237
2021-06-08 12:37:30,0.108,0.177,,0.670,0.905,0.102,0.00745,0.0240
