"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 13:34:30,0.0984,0.168,0.371,0.409,,0.544,0.528,0.0947,0.00771,0.0238
2021-06-04 13:35:00,0.103,0.166,0.408,0.373,,0.541,0.529,0.103,0.00724,0.0240
2021-06-04 13:35:30,0.107,0.164,0.397,0.399,,0.525,0.564,0.0953,0.00713,0.0228
2021-06-04 13:36:00,0.107,0.164,0.376,0.401,,0.531,0.513,0.0997,0.00715,0.0221
2021-06-04 13:36:30,0.111,0.169,0.416,0.384,,0.547,0.519,0.100,0.00726,0.0236
2021-06-04 13:37:00,0.105,0.168,0.381,0.394,,0.530,0.561,0.101,0.00789,0.0235
2021-06-04 13:37:30,0.101,0.162,0.381,0.401,,0.524,0.506,0.105,0.00725,0.0219
2021-06-04 13:38:00,0.106,0.146,0.391,0.385,,0.542,0.525,0.105,0.00801,0.0219
2021-06-04 13:38:30,0.105,0.151,0.406,0.382,,0.567,0.561,0.105,0.00780,0.0223
2021-06-04 13:39:00,0.110,0.158,0.357,0.415,,0.529,0.537,0.101,0.00781,0.0240
2021-06-04 13:39:30,0.107,0.161,0.386,0.409,,0.547,0.511,0.0973,0.00718,0.0226
2021-06-04 13:40:00,0.111,0.169,0.385,0.376,,0.523,0.510,0.101,0.00717,0.0241
