"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 12:11:00,0.0696,0.111,0.230,0.227,,0.401,0.383,0.0844,0.00981,0.0139
2021-06-04 12:11:30,0.0654,0.111,0.248,0.216,,0.382,0.403,0.0835,0.00971,0.0131
2021-06-04 12:12:00,0.0730,0.120,0.233,0.267,,0.397,0.389,0.0743,0.00895,0.0157
2021-06-04 12:12:30,0.0731,0.116,0.242,0.265,,0.369,0.382,0.0787,0.00883,0.0152
2021-06-04 12:13:00,0.0730,0.117,0.243,0.240,,0.399,0.409,0.0761,0.00887,0.0146
2021-06-04 12:13:30,0.0771,0.115,0.239,0.290,,0.392,0.383,0.0827,0.00851,0.0158
2021-06-04 12:14:00,0.0782,0.105,0.198,0.327,,0.397,0.398,0.0759,0.00851,0.0154
2021-06-04 12:14:30,0.0769,0.113,0.200,0.338,,0.400,0.401,0.0779,0.00921,0.0163
2021-06-04 12:15:00,0.0748,0.117,0.238,0.336,,0.404,0.424,0.0743,0.00817,0.0179
2021-06-04 12:15:30,0.0791,0.110,0.215,0.301,,0.361,0.366,0.0648,0.00915,0.0158
2021-06-04 12:16:00,0.0732,0.0935,0.193,0.246,,0.313,0.320,0.0600,0.0102,0.0135
2021-06-04 12:16:30,0.0676,0.0886,0.168,0.206,,0.266,0.265,0.0518,0.0123,0.0126
