"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 10:56:00,0.0755,0.114,0.248,0.258,,0.352,0.398,0.0653,0.00957,0.0168
2021-06-04 10:56:30,0.0779,0.116,0.291,0.263,,0.404,0.397,0.0698,0.00785,0.0166
2021-06-04 10:57:00,0.0859,0.123,0.286,0.256,,0.388,0.423,0.0739,0.00807,0.0180
2021-06-04 10:57:30,0.0826,0.115,0.296,0.279,,0.382,0.404,0.0727,0.00801,0.0180
2021-06-04 10:58:00,0.0828,0.113,0.308,0.271,,0.389,0.389,0.0737,0.00823,0.0173
2021-06-04 10:58:30,0.0750,0.115,0.264,0.296,,0.390,0.393,0.0699,0.00870,0.0183
2021-06-04 10:59:00,0.0796,0.106,0.281,0.301,,0.418,0.404,0.0709,0.00808,0.0172
2021-06-04 10:59:30,0.0734,0.109,0.266,0.230,,0.395,0.389,0.0780,0.00913,0.0159
2021-06-04 11:00:00,0.0758,0.115,0.266,0.275,,0.397,0.390,0.0786,0.00864,0.0159
2021-06-04 11:00:30,0.0760,0.116,0.233,0.285,,0.390,0.370,0.0771,0.00922,0.0161
2021-06-04 11:01:00,0.0722,0.120,0.235,0.282,,0.408,0.408,0.0768,0.00842,0.0153
2021-06-04 11:01:30,0.0744,0.115,0.232,0.257,,0.392,0.395,0.0767,0.00910,0.0164
