"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 15:27:30,0.120,0.156,0.443,0.453,,0.589,0.570,0.118,0.00736,0.0250
2021-06-04 15:28:00,0.128,0.196,0.505,0.498,,0.637,0.673,0.121,0.00723,0.0274
2021-06-04 15:28:30,0.123,0.193,0.481,0.531,,0.628,0.652,0.130,0.00624,0.0270
2021-06-04 15:29:00,0.121,0.175,0.466,0.464,,0.652,0.633,0.136,0.00674,0.0257
2021-06-04 15:29:30,0.117,0.176,0.468,0.433,,0.633,0.608,0.135,0.00720,0.0223
2021-06-04 15:30:00,0.122,0.176,0.431,0.436,,0.613,0.606,0.131,0.00756,0.0225
2021-06-04 15:30:30,0.111,0.176,0.462,0.430,,0.594,0.623,0.134,0.00774,0.0246
2021-06-04 15:31:00,0.104,0.178,0.453,0.422,,0.623,0.594,0.145,0.00706,0.0239
2021-06-04 15:31:30,0.107,0.166,0.457,0.398,,0.633,0.598,0.148,0.00716,0.0223
2021-06-04 15:32:00,0.106,0.165,0.456,0.412,,0.611,0.624,0.147,0.00699,0.0229
2021-06-04 15:32:30,0.104,0.172,0.432,0.413,,0.646,0.607,0.143,0.00713,0.0226
2021-06-04 15:33:00,0.120,0.165,0.476,0.430,,0.633,0.590,0.130,0.00758,0.0238
