"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 15:50:00,0.122,0.172,0.423,0.446,,0.569,0.526,0.118,0.00852,0.0253
2021-06-04 15:50:30,0.131,0.191,0.496,0.503,,0.674,0.645,0.128,0.00723,0.0268
2021-06-04 15:51:00,0.134,0.196,0.499,0.538,,0.629,0.640,0.125,0.00672,0.0271
2021-06-04 15:51:30,0.133,0.187,0.469,0.518,,0.638,0.671,0.131,0.00738,0.0288
2021-06-04 15:52:00,0.127,0.190,0.494,0.537,,0.641,0.672,0.131,0.00733,0.0268
2021-06-04 15:52:30,0.128,0.182,0.479,0.533,,0.623,0.638,0.135,0.00693,0.0271
2021-06-04 15:53:00,0.132,0.181,0.502,0.510,,0.641,0.633,0.123,0.00680,0.0279
2021-06-04 15:53:30,0.127,0.191,0.496,0.485,,0.620,0.605,0.123,0.00691,0.0277
2021-06-04 15:54:00,0.133,0.191,0.489,0.483,,0.622,0.612,0.126,0.00710,0.0276
2021-06-04 15:54:30,0.127,0.185,0.491,0.485,,0.621,0.610,0.131,0.00741,0.0291
2021-06-04 15:55:00,0.129,0.185,0.505,0.468,,0.629,0.637,0.125,0.00746,0.0298
2021-06-04 15:55:30,0.139,0.190,0.488,0.505,,0.647,0.666,0.121,0.00741,0.0284
