"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 15:34:30,0.128,0.185,0.475,0.499,,0.665,0.628,0.131,0.00719,0.0268
2021-06-04 15:35:00,0.135,0.184,0.472,0.492,,0.670,0.613,0.131,0.00657,0.0260
2021-06-04 15:35:30,0.140,0.187,0.477,0.497,,0.628,0.652,0.124,0.00683,0.0280
2021-06-04 15:36:00,0.139,0.189,0.489,0.506,,0.636,0.610,0.129,0.00689,0.0285
2021-06-04 15:36:30,0.139,0.183,0.509,0.487,,0.643,0.614,0.121,0.00694,0.0282
2021-06-04 15:37:00,0.134,0.182,0.501,0.506,,0.642,0.624,0.129,0.00676,0.0271
2021-06-04 15:37:30,0.138,0.188,0.501,0.484,,0.676,0.646,0.127,0.00687,0.0266
2021-06-04 15:38:00,0.132,0.187,0.505,0.506,,0.667,0.667,0.123,0.00732,0.0264
2021-06-04 15:38:30,0.131,0.193,0.484,0.500,,0.645,0.616,0.136,0.00728,0.0269
2021-06-04 15:39:00,0.128,0.179,0.468,0.455,,0.609,0.598,0.120,0.00813,0.0253
2021-06-04 15:39:30,0.113,0.149,0.419,0.393,,0.564,0.531,0.110,0.00941,0.0236
2021-06-04 15:40:00,0.103,0.131,0.357,0.336,,0.461,0.454,0.0958,0.0102,0.0204
