"Time","pod:adservice-w6-56cf7f8c87-269n4_service:adservice_node:worker6.novalocal","pod:cartservice-w6-749867c956-lhjgb_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-5zd6x_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-mpghb_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-777fb577db-rvfrd_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-598f897587-mfj48_service:frontend_node:worker6.novalocal","pod:frontend-w6-598f897587-zr5mx_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-97bddfc7f-xjv5c_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6d4845b77c-nnt9j_service:recommendationservice_node:worker6.novalocal","pod:redis-cart-w6-cc974966d-k8w9v_service:redis-cart_node:worker6.novalocal"
2021-06-04 16:19:30,0.121,0.192,0.479,0.483,,0.662,0.653,0.128,0.00762,0.0266
2021-06-04 16:20:00,0.128,0.198,0.517,0.505,,0.661,0.653,0.137,0.00706,0.0278
2021-06-04 16:20:30,0.128,0.198,0.485,0.477,,0.660,0.615,0.136,0.00720,0.0275
2021-06-04 16:21:00,0.134,0.198,0.496,0.503,,0.662,0.654,0.129,0.00698,0.0275
2021-06-04 16:21:30,0.133,0.192,0.471,0.484,,0.632,0.642,0.130,0.00698,0.0273
2021-06-04 16:22:00,0.135,0.191,0.461,0.496,,0.634,0.605,0.135,0.00707,0.0275
2021-06-04 16:22:30,0.140,0.197,0.469,0.512,,0.645,0.612,0.130,0.00757,0.0260
2021-06-04 16:23:00,0.134,0.181,0.478,0.507,,0.596,0.633,0.131,0.00689,0.0264
2021-06-04 16:23:30,0.140,0.182,0.481,0.507,,0.650,0.634,0.130,0.00707,0.0267
2021-06-04 16:24:00,0.138,0.193,0.494,0.481,,0.634,0.612,0.125,0.00704,0.0266
2021-06-04 16:24:30,0.119,0.171,0.448,0.447,,0.566,0.550,0.113,0.00920,0.0240
2021-06-04 16:25:00,0.107,0.139,0.385,0.384,,0.495,0.450,0.106,0.0105,0.0209
